"time" "cluster" "channel" "id" "markType"
0.1005 "2" "1" "1" "1_2"
0.5077 "2" "1" "1" "1_2"
1.29875 "2" "1" "1" "1_2"
1.70535 "2" "1" "1" "1_2"
2.66135 "2" "1" "1" "1_2"
3.645125 "2" "1" "1" "1_2"
4.29525 "2" "1" "1" "1_2"
4.9405 "2" "1" "1" "1_2"
5.313775 "2" "1" "1" "1_2"
6.086325 "2" "1" "1" "1_2"
6.403325 "3" "1" "1" "1_3"
6.420225 "3" "1" "1" "1_3"
6.43895 "3" "1" "1" "1_3"
6.68625 "2" "1" "1" "1_2"
6.725 "3" "1" "1" "1_3"
6.750475 "3" "1" "1" "1_3"
7.04855 "2" "1" "1" "1_2"
7.3987 "2" "1" "1" "1_2"
8.332575 "3" "1" "1" "1_3"
8.816225 "3" "1" "1" "1_3"
9.944975 "4" "1" "1" "1_4"
9.964525 "2" "1" "1" "1_2"
9.9747 "3" "1" "1" "1_3"
10.091525 "2" "1" "1" "1_2"
10.126125 "4" "1" "1" "1_4"
10.175925 "2" "1" "1" "1_2"
10.32225 "2" "1" "1" "1_2"
10.395075 "2" "1" "1" "1_2"
10.537775 "2" "1" "1" "1_2"
10.913975 "2" "1" "1" "1_2"
10.9493 "4" "1" "1" "1_4"
10.97 "1" "1" "1" "1_1"
11.015175 "3" "1" "1" "1_3"
11.2005 "2" "1" "1" "1_2"
11.299525 "4" "1" "1" "1_4"
11.3962 "2" "1" "1" "1_2"
11.469825 "2" "1" "1" "1_2"
11.907225 "3" "1" "1" "1_3"
12.063425 "2" "1" "1" "1_2"
12.08215 "3" "1" "1" "1_3"
12.11575 "2" "1" "1" "1_2"
12.21145 "2" "1" "1" "1_2"
12.273725 "2" "1" "1" "1_2"
12.44475 "3" "1" "1" "1_3"
12.475325 "3" "1" "1" "1_3"
12.519075 "2" "1" "1" "1_2"
12.5456 "3" "1" "1" "1_3"
12.67955 "4" "1" "1" "1_4"
12.695025 "4" "1" "1" "1_4"
12.9858 "3" "1" "1" "1_3"
13.134625 "2" "1" "1" "1_2"
13.157425 "3" "1" "1" "1_3"
13.6589 "2" "1" "1" "1_2"
13.733425 "3" "1" "1" "1_3"
13.8766 "2" "1" "1" "1_2"
13.954 "2" "1" "1" "1_2"
14.092225 "2" "1" "1" "1_2"
14.290825 "3" "1" "1" "1_3"
14.37065 "3" "1" "1" "1_3"
14.37815 "4" "1" "1" "1_4"
14.43835 "2" "1" "1" "1_2"
14.5236 "2" "1" "1" "1_2"
14.923025 "2" "1" "1" "1_2"
14.946 "4" "1" "1" "1_4"
15.058525 "3" "1" "1" "1_3"
15.1098 "2" "1" "1" "1_2"
15.2302 "3" "1" "1" "1_3"
15.2514 "4" "1" "1" "1_4"
15.573025 "4" "1" "1" "1_4"
15.605525 "4" "1" "1" "1_4"
15.857025 "3" "1" "1" "1_3"
16.035575 "3" "1" "1" "1_3"
16.111275 "2" "1" "1" "1_2"
16.14125 "3" "1" "1" "1_3"
16.275175 "4" "1" "1" "1_4"
16.358725 "2" "1" "1" "1_2"
16.401775 "4" "1" "1" "1_4"
16.424125 "2" "1" "1" "1_2"
16.48585 "3" "1" "1" "1_3"
16.59035 "4" "1" "1" "1_4"
16.7448 "2" "1" "1" "1_2"
16.746525 "3" "1" "1" "1_3"
16.770125 "4" "1" "1" "1_4"
16.83625 "3" "1" "1" "1_3"
16.9397 "2" "1" "1" "1_2"
17.019475 "3" "1" "1" "1_3"
17.1933 "2" "1" "1" "1_2"
17.285675 "2" "1" "1" "1_2"
17.2969 "2" "1" "1" "1_2"
17.54965 "2" "1" "1" "1_2"
17.56545 "1" "1" "1" "1_1"
17.581925 "3" "1" "1" "1_3"
17.61505 "2" "1" "1" "1_2"
17.840275 "2" "1" "1" "1_2"
17.936275 "4" "1" "1" "1_4"
18.04835 "2" "1" "1" "1_2"
18.10885 "3" "1" "1" "1_3"
18.122625 "2" "1" "1" "1_2"
18.1337 "4" "1" "1" "1_4"
18.151825 "2" "1" "1" "1_2"
18.252975 "2" "1" "1" "1_2"
18.522525 "3" "1" "1" "1_3"
18.606425 "2" "1" "1" "1_2"
18.728025 "2" "1" "1" "1_2"
18.799525 "2" "1" "1" "1_2"
18.933075 "4" "1" "1" "1_4"
18.94175 "2" "1" "1" "1_2"
19.10445 "2" "1" "1" "1_2"
19.3553 "4" "1" "1" "1_4"
19.801475 "3" "1" "1" "1_3"
19.8554 "2" "1" "1" "1_2"
20.125325 "4" "1" "1" "1_4"
20.128225 "2" "1" "1" "1_2"
20.2581 "3" "1" "1" "1_3"
20.37635 "3" "1" "1" "1_3"
20.4213 "2" "1" "1" "1_2"
20.682125 "2" "1" "1" "1_2"
20.912275 "2" "1" "1" "1_2"
21.219475 "2" "1" "1" "1_2"
21.56375 "3" "1" "1" "1_3"
21.699425 "3" "1" "1" "1_3"
21.7603 "3" "1" "1" "1_3"
21.8916 "2" "1" "1" "1_2"
22.187225 "3" "1" "1" "1_3"
22.239175 "2" "1" "1" "1_2"
22.651025 "2" "1" "1" "1_2"
23.428475 "3" "1" "1" "1_3"
23.73045 "2" "1" "1" "1_2"
23.979175 "3" "1" "1" "1_3"
24.341125 "2" "1" "1" "1_2"
24.850225 "2" "1" "1" "1_2"
25.168175 "2" "1" "1" "1_2"
25.8225 "2" "1" "1" "1_2"
26.6027 "2" "1" "1" "1_2"
27.02385 "2" "1" "1" "1_2"
27.6071 "2" "1" "1" "1_2"
28.295125 "2" "1" "1" "1_2"
28.566675 "2" "1" "1" "1_2"
28.86375 "2" "1" "1" "1_2"
30.105075 "2" "1" "1" "1_2"
30.414725 "2" "1" "1" "1_2"
30.7193 "2" "1" "1" "1_2"
30.99935 "4" "1" "1" "1_4"
31.283325 "2" "1" "1" "1_2"
32.2451 "2" "1" "1" "1_2"
32.5624 "2" "1" "1" "1_2"
32.88035 "2" "1" "1" "1_2"
33.179375 "2" "1" "1" "1_2"
33.448175 "2" "1" "1" "1_2"
33.664125 "3" "1" "1" "1_3"
34.146125 "2" "1" "1" "1_2"
34.482225 "2" "1" "1" "1_2"
35.7352 "2" "1" "1" "1_2"
36.0873 "2" "1" "1" "1_2"
36.674025 "2" "1" "1" "1_2"
37.322275 "2" "1" "1" "1_2"
37.611575 "2" "1" "1" "1_2"
0.273424999999975 "2" "1" "2" "1_2"
0.61605000000003 "2" "1" "2" "1_2"
2.13915000000003 "2" "1" "2" "1_2"
2.46310000000000 "2" "1" "2" "1_2"
2.862325 "2" "1" "2" "1_2"
3.15902499999999 "2" "1" "2" "1_2"
3.45082500000001 "2" "1" "2" "1_2"
4.58409999999998 "2" "1" "2" "1_2"
5.94069999999999 "2" "1" "2" "1_2"
7.36852499999998 "2" "1" "2" "1_2"
7.79207500000001 "2" "1" "2" "1_2"
9.0548 "2" "1" "2" "1_2"
9.4223 "4" "1" "2" "1_4"
9.72115000000002 "2" "1" "2" "1_2"
9.81214999999997 "2" "1" "2" "1_2"
9.99869999999999 "2" "1" "2" "1_2"
10.1183750000000 "1" "1" "2" "1_1"
10.1977500000000 "3" "1" "2" "1_3"
10.3332750000000 "2" "1" "2" "1_2"
10.4603250000000 "2" "1" "2" "1_2"
10.7076000000000 "2" "1" "2" "1_2"
10.9386750000000 "2" "1" "2" "1_2"
11.0914000000000 "4" "1" "2" "1_4"
11.1536000000000 "2" "1" "2" "1_2"
11.9414000000000 "3" "1" "2" "1_3"
12.103975 "4" "1" "2" "1_4"
12.1207750000000 "2" "1" "2" "1_2"
12.2707250000000 "3" "1" "2" "1_3"
12.2879250000000 "2" "1" "2" "1_2"
12.3110000000000 "2" "1" "2" "1_2"
12.4779250000000 "2" "1" "2" "1_2"
12.681625 "2" "1" "2" "1_2"
12.7102500000000 "2" "1" "2" "1_2"
